scenario,base_reference_ratio,seed,stochastic,first_spendable_age,elapsed_days_to_eligible_parent,credited_work_hex,credited_work_over_threshold,post_reward_blocks_during_rental,post_reward_work_during_rental_hex,estimated_extra_hashes_post_reward,emergency_target_changes_including_warmup,modeled_blocks_including_warmup
steady_1_milli,0.001,0,0,12960,89.9930650677,000000000000000000000000000000000000000000000072b57402a14b21b484,0.00151054917443,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,13559
steady_10_milli,0.01,0,0,12960,89.9930650677,00000000000000000000000000000000000000000000047b16881a4cef523ce2,0.0151054917443,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,13559
steady_100_milli,0.1,0,0,12960,89.9930650677,000000000000000000000000000000000000000000002ccee15107015936f8b1,0.151054917443,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,13559
steady_1000_milli,1,0,0,8580,59.5763888889,0000000000000000000000000000000000000000000128a279b84c5571b87bae,1,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,9179
steady_2000_milli,2,0,0,4291,29.79156261,0000000000000000000000000000000000000000000128ab0fd686602c463a7d,1.00011307046,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,4890
steady_10000_milli,10,0,0,4200,29.1593498896,00000000000000000000000000000000000000000005abdcdecaadac1e42ba7b,4.89444735343,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,4799
steady_1000000_milli,1000,0,0,4200,29.1586733398,000000000000000000000000000000000000000002371ee8ab991a69be9b8131,489.433379338,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,4799
rental_1000x_500_before,1,0,0,8580,59.5815545382,0000000000000000000000000000000000000000000128a90f50906c5f4c41d0,1.00008670644,0,0000000000000000000000000000000000000000000000000000000000000000,0,22,9179
rental_1000x_500_after,1,0,0,4200,29.2441844369,000000000000000000000000000000000000000000423a444750ba1aa1a6cda5,57.1553781111,500,00000000000000000000000000000000000000000041ba5039a5ded27b2ed85b,7.9380558306e+25,22,4799
rental_1000x_one_hour,1,0,0,4200,29.2775944228,000000000000000000000000000000000000000000015356d0bc7d1293fb749b,1.14396312067,15,00000000000000000000000000000000000000000000c2852a576002b4a296ad,9.78727220905e+23,19,4799
